"Night Train","🗣️ Name","Itinerary","More details","🚂 Route","🌍 Countries","🏢 Operator","🎫 Tickets"
"ATC IR 11502 + IR 11504",,"București – Arad","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=24"">View details</a>","IR 11502: București Nord - Videle - Roșiori Nord - Caracal - Craiova - Caransebeș - Lugoj - Timişoara Nord - Arad<br><br>IR 11504: Arad - Timişoara Nord - Lugoj - Caransebeș - Craiova - Caracal - Roșiori Nord - Videle - București Nord","RO","ATC","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.astratranscarpatic.ro/"">Book tickets</a>"
"BDŽ 2626 + 2627",,"Varna – Sofia","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=133"">View details</a>","2626: Varna - Beloslav - Poveljanovo - Sindel - Dobrina - Provadiya - Kaspichan - Shumen - Targovishte - Popovo - Strazhitsa - Gorna Oryahovitsa - Zverino - Lakatnik - Svoge - Kurilo - Sofia Sever - Sofia<br><br>2627: Sofia - Sofia Sever - Rebrovo - Svoge - Cerovo - Bov - Lakatnik - Zverino - Mezdra - Roman - Cherven Bryag - Telish - Targovishte - Shumen - Kaspichan - Provadiya - Dobrina - Sindel - Poveljanovo - Beloslav - Varna","BG","BDŽ","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://razpisanie.bdz.bg/en"">Book tickets</a>"
"BDŽ 2636 + 2637",,"Dobrich – Sofia","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=142"">View details</a>","2636: Dobrich - Donchevo - Botevo - Baqël - General Kiselovo - Valchi Dol - Suvorovo - Chernevo - Kipra - Devnya - Poveljanovo - Zverino - Lakatnik - Svoge - Kurilo - Sofia Sever - Sofia<br><br>2637: Sofia - Sofia Sever - Rebrovo - Svoge - Cerovo - Bov - Lakatnik - Zverino - Mezdra - Roman - Cherven Bryag - Telish - Poveljanovo - Devnya - Kipra - Chernevo - Suvorovo - Valchi Dol - General Kiselovo - Oborishte - Botevo - Donchevo - Dobrich","BG","BDŽ","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://razpisanie.bdz.bg/en"">Book tickets</a>"
"BDŽ 3636 + 3637",,"Varna – Sofia","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=132"">View details</a>","3636: Varna - Poveljanovo - Dalgopol - Sliven - Pirdop - Sofia<br><br>3637: Sofia - Poduiane - Iskar - Kazichene - Zlatica - Pirdop - Klisura - Karlovo - Straldzha - Karnobat - Asparuhovo - Komunari - Dalgopol - Sindel - Poveljanovo - Beloslav - Varna","BG","BDŽ","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://razpisanie.bdz.bg/en"">Book tickets</a>"
"BDŽ 3686 + 3687",,"Burgas – Sofia","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=139"">View details</a>","3686: Burgas - Sliven - Sofia<br><br>3687: Sofia - Pirdop - Sliven - Burgas","BG","BDŽ","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://razpisanie.bdz.bg/en"">Book tickets</a>"
"BDŽ 8626 + 8627",,"Burgas – Sofia","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=134"">View details</a>","8626: Burgas - Vladimir Pavlov - Aytos - Karnobat - Straldzha - Zimnitsa - Jambol - Nova Zagora - Stara Zagora - Dimitrovgrad Sever - Dimitrovgrad - Elin Pelin - Kazichene - Iskar - Poduiane - Sofia<br><br>8627: Sofia - Poduiane - Iskar - Kazichene - Elin Pelin - Ihtiman - Kostenets - Belovo - Septemvri - Pazardzhik - Stambolijski - Plovdiv - Bezmer - Jambol - Zimnitsa - Karnobat - Aytos - Druzhba - Vladimir Pavlov - Burgas","BG","BDŽ","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://razpisanie.bdz.bg/en"">Book tickets</a>"
"BDŽ 8656 + 8657",,"Varna – Sofia","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=131"">View details</a>","8656: Varna - Beloslav - Sindel - Dalgopol - Komunari - Dimitrovgrad - Jabalkovo - Parvomai - Popovitsa - Cheshnegirovo - Sadov - Katunitsa - Krumovo - Plovdiv - Proslav - Todor Kableshkov - Kadievo - Stambolijski - Pazardzhik - Septemvri - Belovo - Kostenets - Ihtiman - Sofia<br><br>8657: Sofia - Poduiane - Iskar - Kazichene - Vakarel - Ihtiman - Kostenets - Belovo - Septemvri - Pazardzhik - Stambolijski - Plovdiv - Krumovo - Parvomai - Dimitrovgrad - Komunari - Dalgopol - Sindel - Beloslav - Varna","BG","BDŽ","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://razpisanie.bdz.bg/en"">Book tickets</a>"
"BDŽ 9646 + 9647",,"Silistra – Sofia","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=135"">View details</a>","9646: Silistra - Alfatar - Dulovo - Todorovo - Isperih - Samuil - Razgrad - Senovo - Vetovo - Yastrebovo - Ruse Razpredelitel - Ruse - Ivanovo - Dve Mogili - Borovo - Byala - Polski Trambesh - Petko Karavelovo - Gorna Oryahovitsa - Zverino - Lakatnik - Svoge - Kurilo - Sofia<br><br>9647: Sofia - Sofia Sever - Kumarica - Kurilo - Romcha - Vlado Trickov - Lukovo - Rebrovo - Tompsan - Svoge - Gelen - Cerovo - Bov - Lakatnik - Zverino - Mezdra - Roman - Cherven Bryag - Telish - Dolni Dabnik - Pleven - Levski - Pavlikeni - Silistra","BG","BDŽ","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://razpisanie.bdz.bg/en"">Book tickets</a>"
"ČD EC 458 + EN 40459","Jižní expres","Praha – Zürich","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=120"">View details</a>","EC 458: Praha hl.n. - Ústí nad Labem hl.n. - Dresden Hbf - Riesa - Freiburg (Breisgau) Hbf - Basel SBB - Zürich HB<br><br>EN 40459: Zürich HB - Basel SBB - Basel Bad Bf - Freiburg (Breisgau) Hbf - Offenburg - Karlsruhe Hbf - Mannheim Hbf - Frankfurt (Main) Süd - Leipzig Hbf - Riesa - Dresden Neustadt - Dresden Hbf - Bad Schandau - Děčín hl.n. - Ústí nad Labem hl.n. - Praha-Holešovice - Praha hl.n.","CH, DE, CZ","ČD","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.cd.cz/en/spojeni-a-jizdenka/"">Book tickets</a>"
"ČD EN 40476 + EN 40457","Metropol"," – Berlin","<a class=""nt_btn nt_rounded_btn"" style=""color: white;background-color: #008f39;border:none"" href=""https://back-on-track.eu/night-train-database/?route_id=4"">View details</a>","EN 40476: Budapest-Nyugati - Vac - Štúrovo - Nové Zámky - Bratislava hl.st. - Kúty - Břeclav - Brno hl.n. - Pardubice hl.n. - Praha hl.n. - Praha-Holešovice - Ústí nad Labem hl.n. - Děčín hl.n. - Bad Schandau - Dresden Hbf - Dresden Neustadt - Berlin Südkreuz - Berlin Hbf<br><br>EN 40457: Praha hl.n. - Pardubice hl.n. - Brno hl.n. - Břeclav - Bratislava hl.st. - Nové Zámky - Vac - Budapest Nyugati","HU, CZ","ČD","<a target=""_blank""  class=""nt_btn nt_rounded_btn"" style=""color: rgba(255, 255, 255, 1);background-color: rgba(0, 143, 57, 1);"" rel="""" href=""https://www.cd.cz/en/spojeni-a-jizdenka/"">Book tickets</a>"
