Transporteur;Origine;Origine_uic;Destination;Destination_uic;Distance entre les gares;Train - Empreinte carbone (kgCO2e);Distance routière;Autocar longue distance - Empreinte carbone (kgCO2e);Voiture électrique (2,2 pers.) - Empreinte carbone (kgCO2e);Voiture thermique (2,2 pers.) - Empreinte carbone (kgCO2e);Distance aérienne;Avion - Empreinte carbone (kgCO2e)
TGV;Paris Gare de Lyon;87686006;Mâcon Loché TGV;87725705;369.0;1.2915;403.0;15.314;37.882;35.867;;
TGV;Paris Gare de Lyon;87686006;Besançon Franche Comté;87300863;367.0;1.2845;416.0;15.808;39.104;37.024;;
TGV;Paris Montparnasse;87391003;Poitiers;87575001;320.0;1.12;341.0;12.958;32.054;30.349;;
TGV;Paris Gare du Nord;87271007;Lille Europe;87223263;225.249;0.7883715;230.0;8.74;21.62;20.47;;
TGV;Paris Nord;87271007;Arras;87342014;179.0;0.6265;190.0;7.22;17.86;16.91;;
TGV;Lyon Part Dieu;87723197;Montpellier Saint-Roch;87773002;314.0;1.099;303.0;11.514;28.482;26.967;;
TGV;Paris Montparnasse;87391003;Brest;87474007;613.0;2.1455;592.0;22.496;55.648;52.688;503.0;62.875
TGV;Paris Gare de Lyon;87686006;Nice;87756056;971.68;3.4008799999999995;934.0;35.492;87.796;83.126;689.0;86.125
TGV;Paris Montparnasse;87391003;Nantes;87481002;385.841;1.3504435000000001;386.0;14.668;36.284;34.354;341.0;42.625
TGV;Marne-la-Vallée-Chessy;87111849;Lille Europe;87223263;227.0;0.7945;243.0;9.234;22.842;21.627;;
TGV;Marne la Vallee Chessy;87111849;Avignon TGV;87318964;646.0;2.261;701.0;26.638;65.894;62.389;;
TGV;Aéroport Charles de Gaulle 2 TGV;87271494;Rennes;87471003;421.0;1.4735;382.0;14.516;35.908;33.998;329.0;41.125
TGV;Paris Montparnasse;87391003;Le Mans;87396002;202.0;0.707;209.0;7.942;19.646;18.601;;
TGV;Metz Ville;87192039;Strasbourg Ville;87212027;147.0;0.5145;163.0;6.194;15.322;14.507;;
