Transporteur;Origine;Origine_uic;Destination;Destination_uic;Distance entre les gares;Train - Empreinte carbone (kgCO2e);Distance routière;Autocar longue distance - Empreinte carbone (kgCO2e);Voiture électrique (2,2 pers.) - Empreinte carbone (kgCO2e);Voiture thermique (2,2 pers.) - Empreinte carbone (kgCO2e);Distance aérienne;Avion - Empreinte carbone (kgCO2e)
TGV;Paris Montparnasse;87391003;Rennes;87471003;363.952;0.90988;350.0;11.55;3.15;21.35;307.0;37.761
TGV;Paris Gare de Lyon;87686006;Chambéry - Challes-les-Eaux;87741009;531.951;1.3298775;571.0;18.843;5.139;34.831;;
TGV;Paris Montparnasse;87391003;Saint-Pierre-des-Corps;87571240;221.0;0.5525;239.0;7.887;2.151;14.579;;
TGV;Paris Nord;87271007;Arras;87342014;179.0;0.4475;190.0;6.27;1.71;11.59;;
TGV;Paris Gare de Lyon;87686006;Dijon;87713040;290.0;0.725;315.0;10.395;2.835;19.215;;
TGV;Marne la Vallee Chessy;87111849;Aix en Provence TGV;87319012;720.0;1.8;770.0;25.41;6.93;46.97;;
TGV;Paris Gare de Lyon;87686006;Annecy;87746008;545.0;1.3625;560.0;18.48;5.04;34.16;;
TGV;Aéroport Charles de Gaulle 2 TGV;87271494;Rennes;87471003;421.0;1.0525;382.0;12.606;3.438;23.302;329.0;40.467
TGV;Paris Gare de Lyon;87686006;Mâcon Loché TGV;87725705;369.0;0.9225;403.0;13.299;3.627;24.583;;
TGV;Bruxelles Midi Brussel Zuid;88140010;Lyon Part Dieu;87723197;733.0;1.8325;717.0;23.661;6.453;43.737;568.0;69.864
TGV;Metz Ville;87192039;Strasbourg Ville;87212027;147.0;0.3675;163.0;5.379;1.467;9.943;;
TGV;Paris Gare de Lyon;87686006;Grenoble;87747006;556.09;1.390225;576.0;19.008;5.184;35.136;;
TGV;Paris Gare de Lyon;87686006;Lyon Part Dieu;87723197;429.496;1.07374;465.0;15.345;4.185;28.365;394.0;48.462
TGV;Strasbourg Ville;87212027;Nantes;87481002;834.0;2.085;865.0;28.545;7.785;52.765;710.0;87.33
TGV;Paris Montparnasse;87391003;La Rochelle;87485003;460.0;1.15;332.0;10.956;2.988;20.252;;
TGV;Paris Gare de Lyon;87686006;Montpellier Saint-Roch;87773002;738.861;1.8471525;749.0;24.717;6.741;45.689;596.0;73.308
TGV;Paris Montparnasse;87391003;Toulouse Matabiau;87611004;793.993;1.9849825;679.0;22.407;6.111;41.419;589.0;72.447
TGV;Marne-la-Vallée-Chessy;87111849;Lille Europe;87223263;227.0;0.5675;243.0;8.019;2.187;14.823;;
TGV;Paris Montparnasse;87391003;Angers-St-Laud;87484006;303.0;0.7575;301.0;9.933;2.709;18.361;;
TGV;Paris Est;87113001;Nancy;87141002;367.0;0.9175;386.0;12.738;3.474;23.546;;
TGV;Paris Montparnasse;87391003;Nantes;87481002;385.841;0.9646024999999999;386.0;12.738;3.474;23.546;341.0;41.943
TGV;Paris Montparnasse;87391003;Arcachon;87582668;595.0;1.4875;650.0;21.45;5.85;39.65;;
Intercités;Bayonne;87673004;Pau;87672006;106.0;0.5405999999999999;113.0;3.729;1.017;6.893;;
TGV;Paris Est;87113001;Metz;87192039;352.0;0.88;332.0;10.956;2.988;20.252;;
TGV;Paris Gare de Lyon;87686006;Marseille Saint-Charles;87751008;750.138;1.875345;775.0;25.575;6.975;47.275;662.0;81.426
Intercités;Paris-Austerlitz;87547000;Rodez;87613422;660.0;3.3659999999999997;660.0;21.78;5.94;40.26;502.0;61.746
TGV;Paris Montparnasse;87391003;Biarritz;87673400;744.496;1.86124;783.0;25.839;7.047;47.763;669.0;82.287
TGV;Paris Gare du Nord;87271007;Lille Europe;87223263;225.249;0.5631225;230.0;7.59;2.07;14.03;;
Intercités;Marseille Saint-Charles;87751008;Bordeaux Saint-Jean;87581009;680.0;3.4679999999999995;647.0;21.351;5.823;39.467;506.0;62.238
TGV;Paris-Est;87113001;Champagne-Ardenne-TGV;87171926;175.0;0.4375;148.0;4.884;1.332;9.028;;
TGV;Paris Gare de Lyon;87686006;Valence TGV Rhône-Alpes Sud;87763029;535.0;1.3375;686.0;22.638;6.174;41.846;;
Intercités;Bayonne;87673004;Toulouse-Matabiau;87611004;321.0;1.6371;299.0;9.867;2.691;18.239;;
TGV;Paris Est;87113001;Strasbourg;87212027;450.58;1.12645;488.0;16.104;4.392;29.768;;
TGV;Paris Montparnasse;87391003;Angoulême;87583005;428.0;1.07;450.0;14.85;4.05;27.45;;
International;Paris Est;87113001;Mannheim HBF;80140087;581.0;4.706099999999999;524.0;17.292;4.716;31.964;;
TGV;Paris Montparnasse;87391003;Vannes;87476606;489.0;1.2225;464.0;15.312;4.176;28.304;;
TGV;Paris Montparnasse;87391003;Le Mans;87396002;202.0;0.505;209.0;6.897;1.881;12.749;;
International;Paris Nord;88194060;London St-Pancras;70154005;496.0;2.8768;462.0;15.246;4.158;28.182;342.0;42.066
Intercités;Agen;87586008;Bordeaux Saint-Jean;87581009;135.0;0.6885;139.0;4.587;1.251;8.479;;
TGV;Paris Gare du Nord;87271007;Dunkerque;87281006;305.0;0.7625;301.0;9.933;2.709;18.361;;
International;Marseille Saint-Charles;87751008;Geneve;85010082;521.0;1.563;461.0;15.213;4.149;28.121;;
International;Paris Est;87113001;Muenchen HBF;80203471;843.0;6.8283;833.0;27.489;7.497;50.813;687.0;84.501
Intercités;Marseille Saint-Charles;87751008;Toulouse-Matabiau;87611004;423.0;2.1572999999999998;405.0;13.365;3.645;24.705;;
International;Paris Est;87113001;Luxembourg;82001000;373.0;2.1634;374.0;12.342;3.366;22.814;296.0;36.408
International;Paris Gare de Lyon;87686006;Torino Porta Susa;83002220;734.0;6.5326;776.0;25.608;6.984;47.336;586.0;72.078
Intercités;Bordeaux Saint-Jean;87581009;Nantes;87481002;525.0;2.6775;354.0;11.682;3.186;21.594;;
International;Nimes Centre;87775007;Barcelona Sants;71718010;394.0;0.985;394.0;13.002;3.546;24.034;;
International;Paris Gare de Lyon;87686006;Milano P Garibaldi;83016451;877.0;7.8053;913.0;30.129;8.217;55.693;642.0;78.966
International;Montpellier Saint-Roch;87773002;Barcelona Sants;71718010;344.0;0.86;349.0;11.517;3.141;21.289;;
International;Strasbourg;87212027;Bruxelles Midi Brussel Zuid;88140010;730.0;4.234;429.0;14.157;3.861;26.169;;
International;Marseille Saint-Charles;87751008;Bruxelles Midi Brussel Zuid;88140010;1072.0;6.217599999999999;1027.0;33.891;9.243;62.647;844.0;103.812
International;Paris Gare de Lyon;87686006;Basel SBB;85000109;525.0;1.575;571.0;18.843;5.139;34.831;;
TER;Paris Saint-Lazare;87384008;Rouen Rive Droite;87411017;139.0;2.6966;146.0;4.818;1.314;8.906;;
International;Paris Gare de Lyon;87686006;Barcelona Sants;71718010;1076.0;2.69;1038.0;34.254;9.342;63.318;832.0;102.336
International;Paris Nord;88194060;Schiphol Airport;84005611;510.0;2.958;509.0;16.797;4.581;31.049;421.0;51.783
TER;Chambéry-Challes-les-Eaux;87741009;Lyon Part-Dieu;87723197;107.0;2.0757999999999996;109.0;3.597;0.981;6.649;;
TER;Paris Saint-Lazare;87384008;Le Havre Gare locale;87413013;228.0;4.4232;211.0;6.963;1.899;12.871;;
TER;Paris Austerlitz;87547000;Orléans;87543009;121.0;2.3473999999999995;136.0;4.488;1.224;8.296;;
