Lignes,Arrêt de train ,Ordre ,Itinéraire,Latitude,Longitude,point_geographique
RB,Belval-Lycée,9.0,Luxembourg<>Rodange,49.501542,5.934009,"49.501542, 5.934009"
RE,Belval-Lycée,7.0,Pétange<>Mersch,49.501542,5.934009,"49.501542, 5.934009"
RB,Audun-le-Tiche,2.0,Esch-sur-Alzette<>Audun-le-Tiche,49.479988,5.961016,"49.479988, 5.961016"
RB,Belval-Université,8.0,Luxembourg<>Pétange,49.499504,5.946311,"49.499504, 5.946311"
RB,Belval-Rédange,10.0,Luxembourg<>Pétange,49.503177,5.923810,"49.503177, 5.92381"
RB,Berchem,3.0,Luxembourg<>Rodange,49.542714,6.133898,"49.542714, 6.133898"
RB,Belval-Rédange,10.0,Luxembourg<>Rodange,49.503177,5.923810,"49.503177, 5.92381"
RE,Bettembourg,12.0,Pétange<>Mersch,49.516641,6.101774,"49.516641, 6.101774"
RE,Belval-Université,8.0,Pétange<>Mersch,49.499504,5.946311,"49.499504, 5.946311"
RB,Differdange,13.0,Luxembourg<>Pétange,49.528266,5.891892,"49.528266, 5.891892"
RB,Differdange,13.0,Luxembourg<>Rodange,49.528266,5.891892,"49.528266, 5.891892"
RB,Esch-sur-Alzette,7.0,Luxembourg<>Pétange,49.494230,5.985734,"49.49423, 5.985734"
RB,Esch-sur-Alzette,7.0,Luxembourg<>Rodange,49.494230,5.985734,"49.49423, 5.985734"
RB,Esch-sur-Alzette,1.0,Esch-sur-Alzette<>Audun-le-Tiche,49.494230,5.985734,"49.49423, 5.985734"
RE,Esch-sur-Alzette,9.0,Pétange<>Mersch,49.494230,5.985734,"49.49423, 5.985734"
RE,Mersch,18.0,Pétange<>Mersch,49.751846,6.110091,"49.751846, 6.110091"
RB,Howald,2.0,Luxembourg<>Rodange,49.577128,6.132113,"49.577128, 6.132113"
RB,Niederkorn,14.0,Luxembourg<>Pétange,49.536714,5.893977,"49.536714, 5.893977"
RE,Howald,14.0,Pétange<>Mersch,49.577128,6.132113,"49.577128, 6.132113"
RB,Noertzange,5.0,Luxembourg<>Pétange,49.508034,6.050804,"49.508034, 6.050804"
RB,Luxembourg,1.0,Luxembourg<>Pétange,49.5996149,6.1339248,"49.5996149, 6.1339248"
RB,Oberkorn,12.0,Luxembourg<>Pétange,49.509341,5.892907,"49.509341, 5.892907"
RB,Niederkorn,14.0,Luxembourg<>Rodange,49.536714,5.893977,"49.536714, 5.893977"
RB,Pétange,15.0,Luxembourg<>Pétange,49.554275,5.879317,"49.554275, 5.879317"
RB,Oberkorn,12.0,Luxembourg<>Rodange,49.509341,5.892907,"49.509341, 5.892907"
RE,Pétange,1.0,Pétange<>Mersch,49.554275,5.879317,"49.554275, 5.879317"
RE,Oberkorn,4.0,Pétange<>Mersch,49.509341,5.892907,"49.509341, 5.892907"
RB,Schifflange,6.0,Luxembourg<>Rodange,49.506561,6.009971,"49.506561, 6.009971"
RB,Pétange,15.0,Luxembourg<>Rodange,49.554275,5.879317,"49.554275, 5.879317"
RE,Pfaffenthal-Kirchberg,16.0,Pétange<>Mersch,49.618580,6.132802,"49.61858, 6.132802"
RB,Rodange,17.0,Luxembourg<>Rodange,49.550860,5.843254,"49.55086, 5.843254"
RB,Schifflange,6.0,Luxembourg<>Pétange,49.506561,6.009971,"49.506561, 6.009971"
RB,Belval-Lycée,9.0,Luxembourg<>Pétange,49.501542,5.934009,"49.501542, 5.934009"
RE,Belval-Rédange,6.0,Pétange<>Mersch,49.503177,5.923810,"49.503177, 5.92381"
RB,Belval-Université,8.0,Luxembourg<>Rodange,49.499504,5.946311,"49.499504, 5.946311"
RB,Belvaux-Soleuvre,11.0,Luxembourg<>Pétange,49.515126,5.926075,"49.515126, 5.926075"
RB,Belvaux-Soleuvre,11.0,Luxembourg<>Rodange,49.515126,5.926075,"49.515126, 5.926075"
RE,Belvaux-Soleuvre,5.0,Pétange<>Mersch,49.515126,5.926075,"49.515126, 5.926075"
RB,Berchem,3.0,Luxembourg<>Pétange,49.542714,6.133898,"49.542714, 6.133898"
RE,Berchem,13.0,Pétange<>Mersch,49.542714,6.133898,"49.542714, 6.133898"
RB,Bettembourg,4.0,Luxembourg<>Pétange,49.516641,6.101774,"49.516641, 6.101774"
RB,Bettembourg,4.0,Luxembourg<>Rodange,49.516641,6.101774,"49.516641, 6.101774"
RE,Differdange,3.0,Pétange<>Mersch,49.528266,5.891892,"49.528266, 5.891892"
RE,Dommeldange,17.0,Pétange<>Mersch,49.633821,6.136676,"49.633821, 6.136676"
RB,Howald,2.0,Luxembourg<>Pétange,49.577128,6.132113,"49.577128, 6.132113"
RB,Lamadelaine,16.0,Luxembourg<>Rodange,49.553456,5.860863,"49.553456, 5.860863"
RB,Luxembourg,1.0,Luxembourg<>Rodange,49.5996149,6.1339248,"49.5996149, 6.1339248"
RE,Luxembourg,15.0,Pétange<>Mersch,49.5996149,6.1339248,"49.5996149, 6.1339248"
RE,Niederkorn,2.0,Pétange<>Mersch,49.536714,5.893977,"49.536714, 5.893977"
RB,Noertzange,5.0,Luxembourg<>Rodange,49.508034,6.050804,"49.508034, 6.050804"
RE,Noertzange,11.0,Pétange<>Mersch,49.508034,6.050804,"49.508034, 6.050804"
RE,Schifflange,10.0,Pétange<>Mersch,49.506561,6.009971,"49.506561, 6.009971"
