Lignes,Arrêt de train ,Ordre ,Itinéraire,Latitude,Longitude,point_geographique_,Tracé
RB,Luxembourg,1.0,Luxembourg<>Pétange,49.5996149,6.1339248,"49.5996149, 6.1339248","{""coordinates"": [[6.1339248, 49.5996149], [6.132113, 49.577128], [6.133898, 49.542714], [6.101774, 49.516641], [6.050804, 49.508034], [6.009971, 49.506561], [5.985734, 49.49423], [5.946311, 49.499504], [5.934009, 49.501542], [5.92381, 49.503177], [5.926075, 49.515126], [5.892907, 49.509341], [5.891892, 49.528266], [5.893977, 49.536714], [5.879317, 49.554275]], ""type"": ""LineString""}"
RB,Noertzange,5.0,Luxembourg<>Pétange,49.508034,6.050804,"49.508034, 6.050804",
RB,Schifflange,6.0,Luxembourg<>Pétange,49.506561,6.009971,"49.506561, 6.009971",
RB,Belval-Université,8.0,Luxembourg<>Pétange,49.499504,5.946311,"49.499504, 5.946311",
RB,Belval-Lycée,9.0,Luxembourg<>Pétange,49.501542,5.934009,"49.501542, 5.934009",
RB,Belval-Rédange,10.0,Luxembourg<>Pétange,49.503177,5.923810,"49.503177, 5.92381",
RB,Belvaux-Soleuvre,11.0,Luxembourg<>Pétange,49.515126,5.926075,"49.515126, 5.926075",
RB,Berchem,3.0,Luxembourg<>Pétange,49.542714,6.133898,"49.542714, 6.133898",
RB,Luxembourg,1.0,Luxembourg<>Rodange,49.5996149,6.1339248,"49.5996149, 6.1339248","{""coordinates"": [[6.1339248, 49.5996149], [6.132113, 49.577128], [6.133898, 49.542714], [6.101774, 49.516641], [6.050804, 49.508034], [6.009971, 49.506561], [5.985734, 49.49423], [5.946311, 49.499504], [5.934009, 49.501542], [5.92381, 49.503177], [5.926075, 49.515126], [5.892907, 49.509341], [5.891892, 49.528266], [5.893977, 49.536714], [5.879317, 49.554275], [5.860863, 49.553456], [5.843254, 49.55086]], ""type"": ""LineString""}"
RB,Esch-sur-Alzette,7.0,Luxembourg<>Pétange,49.494230,5.985734,"49.49423, 5.985734",
RB,Noertzange,5.0,Luxembourg<>Rodange,49.508034,6.050804,"49.508034, 6.050804",
RB,Oberkorn,12.0,Luxembourg<>Pétange,49.509341,5.892907,"49.509341, 5.892907",
RB,Schifflange,6.0,Luxembourg<>Rodange,49.506561,6.009971,"49.506561, 6.009971",
RB,Pétange,15.0,Luxembourg<>Pétange,49.554275,5.879317,"49.554275, 5.879317",
RB,Esch-sur-Alzette,7.0,Luxembourg<>Rodange,49.494230,5.985734,"49.49423, 5.985734",
RB,Howald,2.0,Luxembourg<>Rodange,49.577128,6.132113,"49.577128, 6.132113",
